"Year","softwood.timber","hardwood.timber","biodiversity","carbon","flood.regulation","recreation","livestock","crop.service","employment"
2015,1013.265,185.74,13786.326,12464.337,5305.718,2955.556,3839.657,2046.71,2754.846
2016,1013.265,185.74,13786.326,12464.337,5305.718,2955.556,3839.657,2046.71,2754.846
2017,1013.265,185.74,13786.326,12464.337,5305.718,2955.556,3839.657,2046.71,2754.846
2018,1013.265,185.74,13786.326,12464.337,5305.718,2955.556,3839.657,2046.71,2754.846
2019,1013.265,185.74,13786.326,12464.337,5305.718,2955.556,3839.657,2046.71,2754.846
2020,1013.265,185.74,13786.326,12464.337,5305.718,2955.556,3839.657,2046.71,2754.846
2021,1025.9308125,208.749875,13872.4905375,12542.23910625,5473.10284375,2974.028225,3863.65485625,2059.5019375,2789.281575
2022,1038.596625,231.75975,13958.655075,12620.1412125,5640.4876875,2992.50045,3887.6527125,2072.293875,2823.71715
2023,1051.2624375,254.769625,14044.8196125,12698.04331875,5807.87253125,3010.972675,3911.65056875,2085.0858125,2858.152725
2024,1063.92825,277.7795,14130.98415,12775.945425,5975.257375,3029.4449,3935.648425,2097.87775,2892.5883
2025,1076.5940625,300.789375,14217.1486875,12853.84753125,6142.64221875,3047.917125,3959.64628125,2110.6696875,2927.023875
2026,1089.259875,323.79925,14303.313225,12931.7496375,6310.0270625,3066.38935,3983.6441375,2123.461625,2961.45945
2027,1101.9256875,346.809125,14389.4777625,13009.65174375,6477.41190625,3084.861575,4007.64199375,2136.2535625,2995.895025
2028,1114.5915,369.819,14475.6423,13087.55385,6644.79675,3103.3338,4031.63985,2149.0455,3030.3306
2029,1127.2573125,392.828875,14561.8068375,13165.45595625,6812.18159375,3121.806025,4055.63770625,2161.8374375,3064.766175
2030,1139.923125,415.83875,14647.971375,13243.3580625,6979.5664375,3140.27825,4079.6355625,2174.629375,3099.20175
2031,1152.5889375,438.848625,14734.1359125,13321.26016875,7146.95128125,3158.750475,4103.63341875,2187.4213125,3133.637325
2032,1165.25475,461.8585,14820.30045,13399.162275,7314.336125,3177.2227,4127.631275,2200.21325,3168.0729
2033,1177.9205625,484.868375,14906.4649875,13477.06438125,7481.72096875,3195.694925,4151.62913125,2213.0051875,3202.508475
2034,1190.586375,507.87825,14992.629525,13554.9664875,7649.1058125,3214.16715,4175.6269875,2225.797125,3236.94405
2035,1203.2521875,530.888125,15078.7940625,13632.86859375,7816.49065625,3232.639375,4199.62484375,2238.5890625,3271.379625
2036,1215.918,553.898,15164.9586,13710.7707,7983.8755,3251.1116,4223.6227,2251.381,3305.8152
2037,1228.5838125,576.907875,15251.1231375,13788.67280625,8151.26034375,3269.583825,4247.62055625,2264.1729375,3340.250775
2038,1241.249625,599.91775,15337.287675,13866.5749125,8318.6451875,3288.05605,4271.6184125,2276.964875,3374.68635
2039,1253.9154375,622.927625,15423.4522125,13944.47701875,8486.03003125,3306.528275,4295.61626875,2289.7568125,3409.121925
2040,1266.58125,645.9375,15509.61675,14022.379125,8653.414875,3325.0005,4319.614125,2302.54875,3443.5575
2041,1279.2470625,668.947375,15595.7812875,14100.28123125,8820.79971875,3343.472725,4343.61198125,2315.3406875,3477.993075
2042,1291.912875,691.95725,15681.945825,14178.1833375,8988.1845625,3361.94495,4367.6098375,2328.132625,3512.42865
2043,1304.5786875,714.967125,15768.1103625,14256.08544375,9155.56940625,3380.417175,4391.60769375,2340.9245625,3546.864225
2044,1317.2445,737.977,15854.2749,14333.98755,9322.95425,3398.8894,4415.60555,2353.7165,3581.2998
2045,1329.9103125,760.986875,15940.4394375,14411.88965625,9490.33909375,3417.361625,4439.60340625,2366.5084375,3615.735375
2046,1342.576125,783.99675,16026.603975,14489.7917625,9657.7239375,3435.83385,4463.6012625,2379.300375,3650.17095
2047,1355.2419375,807.006625,16112.7685125,14567.69386875,9825.10878125,3454.306075,4487.59911875,2392.0923125,3684.606525
2048,1367.90775,830.0165,16198.93305,14645.595975,9992.493625,3472.7783,4511.596975,2404.88425,3719.0421
2049,1380.5735625,853.026375,16285.0975875,14723.49808125,10159.87846875,3491.250525,4535.59483125,2417.6761875,3753.477675
2050,1393.239375,876.03625,16371.262125,14801.4001875,10327.2633125,3509.72275,4559.5926875,2430.468125,3787.91325
2051,1405.9051875,899.046125,16457.4266625,14879.30229375,10494.64815625,3528.194975,4583.59054375,2443.2600625,3822.348825
2052,1418.571,922.056,16543.5912,14957.2044,10662.033,3546.6672,4607.5884,2456.052,3856.7844
2053,1431.2368125,945.065875,16629.7557375,15035.10650625,10829.41784375,3565.139425,4631.58625625,2468.8439375,3891.219975
2054,1443.902625,968.07575,16715.920275,15113.0086125,10996.8026875,3583.61165,4655.5841125,2481.635875,3925.65555
2055,1456.5684375,991.085625,16802.0848125,15190.91071875,11164.18753125,3602.083875,4679.58196875,2494.4278125,3960.091125
2056,1469.23425,1014.0955,16888.24935,15268.812825,11331.572375,3620.5561,4703.579825,2507.21975,3994.5267
2057,1481.9000625,1037.105375,16974.4138875,15346.71493125,11498.95721875,3639.028325,4727.57768125,2520.0116875,4028.962275
2058,1494.565875,1060.11525,17060.578425,15424.6170375,11666.3420625,3657.50055,4751.5755375,2532.803625,4063.39785
2059,1507.2316875,1083.125125,17146.7429625,15502.51914375,11833.72690625,3675.972775,4775.57339375,2545.5955625,4097.833425
2060,1519.8975,1106.135,17232.9075,15580.42125,12001.11175,3694.445,4799.57125,2558.3875,4132.269
2061,1532.5633125,1129.144875,17319.0720375,15658.32335625,12168.49659375,3712.917225,4823.56910625,2571.1794375,4166.704575
2062,1545.229125,1152.15475,17405.236575,15736.2254625,12335.8814375,3731.38945,4847.5669625,2583.971375,4201.14015
2063,1557.8949375,1175.164625,17491.4011125,15814.12756875,12503.26628125,3749.861675,4871.56481875,2596.7633125,4235.575725
2064,1570.56075,1198.1745,17577.56565,15892.029675,12670.651125,3768.3339,4895.562675,2609.55525,4270.0113
2065,1583.2265625,1221.184375,17663.7301875,15969.93178125,12838.03596875,3786.806125,4919.56053125,2622.3471875,4304.446875
2066,1595.892375,1244.19425,17749.894725,16047.8338875,13005.4208125,3805.27835,4943.5583875,2635.139125,4338.88245
2067,1608.5581875,1267.204125,17836.0592625,16125.73599375,13172.80565625,3823.750575,4967.55624375,2647.9310625,4373.318025
2068,1621.224,1290.214,17922.2238,16203.6381,13340.1905,3842.2228,4991.5541,2660.723,4407.7536
2069,1633.8898125,1313.223875,18008.3883375,16281.54020625,13507.57534375,3860.695025,5015.55195625,2673.5149375,4442.189175
2070,1646.555625,1336.23375,18094.552875,16359.4423125,13674.9601875,3879.16725,5039.5498125,2686.306875,4476.62475
2071,1659.2214375,1359.243625,18180.7174125,16437.34441875,13842.34503125,3897.639475,5063.54766875,2699.0988125,4511.060325
2072,1671.88725,1382.2535,18266.88195,16515.246525,14009.729875,3916.1117,5087.545525,2711.89075,4545.4959
2073,1684.5530625,1405.263375,18353.0464875,16593.14863125,14177.11471875,3934.583925,5111.54338125,2724.6826875,4579.931475
2074,1697.218875,1428.27325,18439.211025,16671.0507375,14344.4995625,3953.05615,5135.5412375,2737.474625,4614.36705
2075,1709.8846875,1451.283125,18525.3755625,16748.95284375,14511.88440625,3971.528375,5159.53909375,2750.2665625,4648.802625
