"Service","region","nn.conifer.yc","nn.broad.yc","n.conifer.yc","n.broad.yc","n.broad.consv","agro.yc","mixed.yc","crop.productivity","grassland","water.runoff","human","social","manufactured","financial","moreNW","lessNW","moreF","lessF","moreNAT","lessNAT","deep.peat","deer.density","wild.land","Production"
"softwood.timber",0,0.4,0,0.33,0,0,0,0,0,0,0,0,0.07,0.03,0,0,0,0,0,0,0,1,0,0,0.92
"hardwood.timber",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"biodiversity",0,0.03,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.78
"carbon",0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.72
"flood.regulation",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.4
"recreation",0,0.009,0,0.003,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,1,0,0,0.24
"livestock",0,0,0,0,0,0,0,0,0,0.1,0,0.007,0,0.06,0,0,0,0,0,0,0,1,0,0,0.058
"crop.service",0,0,0,0,0,0,0,0,0.1,0,0,0.04,0.003,0,0,0,0,0,0,0,0,1,0,0,0.53
"employment",0,0.05,0,0,0,0,0,0,0.006,0.05,0,0,0,0.1,0.1,0,0,0,0,0,0,1,0,0,0.077
