"Service","region","nn.conifer.yc","nn.broad.yc","n.conifer.yc","n.broad.yc","n.broad.consv","agro.yc","mixed.yc","crop.productivity","grassland","water.runoff","human","social","manufactured","financial","moreNW","lessNW","moreF","lessF","moreNAT","lessNAT","deep.peat","deer.density","wild.land","Production"
"softwood.timber",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"hardwood.timber",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"biodiversity",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.84
"carbon",0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.69
"flood.regulation",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5
"recreation",0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,1,0,0,0.31
"livestock",0,0,0,0,0,0,0,0,0,1,0,0,0,0.13,0.012,0,0,0,0,0,0,1,0,0,0.092
"crop.service",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"employment",0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0.12,0,0,0,0,0,0,1,0,0,0.14
