"Service","region","nn.conifer.yc","nn.broad.yc","n.conifer.yc","n.broad.yc","n.broad.consv","agro.yc","mixed.yc","crop.productivity","grassland","water.runoff","human","social","manufactured","financial","moreNW","lessNW","moreF","lessF","moreNAT","lessNAT","deep.peat","deer.density","wild.land","Production"
"softwood.timber",0,0,0,0,0,0,0,0.4,0,0,0,0.06,0,0.07,0.16,1,1,1,1,0,0,1,1,0,0.45
"hardwood.timber",0,0,0,0,0,0,0,0.4,0,0,0,0.06,0,0.07,0.16,1,1,1,1,0,0,1,1,0,0.47
"biodiversity",0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0.73
"carbon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0.66
"flood.regulation",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0.8
"recreation",0,0,0,0,0,0,0,0.04,0,0,0,0.095,0.001,0,0,1,1,1,1,0,0,1,1,0,0.093
"livestock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0
"crop.service",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0
"employment",0,0,0,0,0,0,0,0.12,0,0,0,0.13,0.2,0.3,0.11,1,1,1,1,0,0,1,1,0,0.16
