"Service","region","nn.conifer.yc","nn.broad.yc","n.conifer.yc","n.broad.yc","n.broad.consv","agro.yc","mixed.yc","crop.productivity","grassland","water.runoff","human","social","manufactured","financial","moreNW","lessNW","moreF","lessF","moreNAT","lessNAT","deep.peat","deer.density","wild.land","Production"
"softwood.timber",0,0,0,1,0,0,0,0,0,0,0,0,0,0.23,0.26,0,0,1,1,0,0,1,1,0,0.45
"hardwood.timber",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0
"biodiversity",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0.59
"carbon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0.71
"flood.regulation",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0.9
"recreation",0,0,0,0,0,0,0,0,0,0,0,0.06,0.04,0,0,0,0,1,1,0,0,1,1,0,0.022
"livestock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0
"crop.service",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0
"employment",0,0,0,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,1,1,0,0,1,1,0,0.24
