"","year_id","wood_cover","tES.div","tLU.div","native.wood.ext","consv.ext","int.agri.ext","int.timb.ext","estates.ext","ext.agri.ext"
"44",2063,26.8326535581664,0.628987243918231,0.865624091110018,2956,15043,10470,1437,32520,20859
"45",2064,26.8180434650271,0.629037581822583,0.865531269391477,2955,15038,10486,1436,32516,20883
"46",2065,26.805868387411,0.629076791921759,0.865423146519811,2955,15037,10488,1436,32515,20912
"47",2066,26.8046508796494,0.629046064679923,0.865571946468836,2954,15036,10517,1436,32515,20885
"48",2067,26.7778657088939,0.629029222463109,0.865597662141996,2952,15032,10535,1436,32512,20895
"49",2068,26.724295367383,0.629050679908048,0.865389923759163,2938,15018,10575,1436,32512,20937
"50",2069,26.724295367383,0.629015637043064,0.865642284872439,2939,15019,10633,1436,32512,20891
"51",2070,26.7255128751446,0.628932865488374,0.866130452195257,2939,15019,10730,1435,32515,20796
"52",2071,26.7255128751446,0.628811139605181,0.86685442958166,2939,15019,10868,1435,32515,20658
"53",2072,26.7255128751446,0.628737391480245,0.867416636377514,2940,15015,10977,1435,32511,20554
"54",2073,26.7267303829062,0.628604849556865,0.868417693538458,2940,15015,11184,1435,32513,20349
"55",2074,26.7255128751446,0.628456558185913,0.869556476197236,2939,15014,11425,1435,32512,20112
"56",2075,26.724295367383,0.62833988974083,0.870657137900142,2939,15014,11665,1433,32512,19876
"57",2076,26.7194253363365,0.628246602491059,0.871599077858865,2940,15015,11871,1433,32512,19670
"58",2077,26.7011627199123,0.628218776568381,0.871696632938075,2934,15009,11897,1432,32512,19655
"59",2078,26.702380227674,0.62819522346166,0.871954847753367,2934,15009,11951,1432,32512,19601
"60",2079,26.6926401655811,0.628164797163137,0.872139736983415,2932,15007,11992,1430,32512,19564
"61",2080,26.6768125646801,0.628148418316019,0.872216621038413,2932,15007,12013,1427,32512,19548
"62",2081,26.6743775491569,0.628128363925544,0.872353123617998,2931,15006,12043,1426,32512,19520
"63",2082,26.6622024715408,0.628104721473862,0.872390754220711,2926,15001,12061,1422,32512,19513
"64",2083,26.5696718816582,0.628065118458985,0.872206337555921,2907,14969,12089,1406,32499,19554
"65",2084,26.5051439702928,0.628055262965212,0.87210208147764,2899,14957,12121,1400,32495,19580
"66",2085,26.4783587995373,0.6280871130062,0.871940155539414,2892,14950,12140,1399,32495,19632
"67",2086,26.4759237840141,0.628138135188161,0.871805251202806,2890,14948,12154,1399,32495,19678
"68",2087,26.4600961831132,0.628186235468281,0.871644091923148,2885,14943,12168,1399,32495,19731
"69",2088,26.4430510744506,0.628241298049417,0.871501435322472,2882,14940,12192,1399,32495,19772
"70",2089,26.4406160589274,0.62828149274582,0.871412335425916,2880,14938,12199,1399,32495,19781
"71",2090,26.4406160589274,0.628246192907665,0.871737163265245,2880,14938,12276,1399,32495,19707
"72",2091,26.4406160589274,0.628172893209952,0.872293725959859,2880,14938,12406,1399,32495,19577
"73",2092,26.4393985511658,0.62813007111632,0.872588608459447,2879,14937,12479,1399,32495,19508
"74",2093,26.4393985511658,0.628082204871996,0.872931065295315,2879,14937,12561,1399,32495,19426
"75",2094,26.4247884580264,0.628063065154751,0.872932025545547,2868,14926,12589,1399,32495,19410
"76",2095,26.426005965788,0.628063844260465,0.872930920916845,2868,14925,12589,1399,32495,19410
"77",2096,26.4187009192184,0.628055624720144,0.872932255898875,2862,14919,12604,1399,32495,19401
"78",2097,26.4187009192184,0.628054538840521,0.872940543875251,2862,14919,12606,1399,32495,19399
"79",2098,26.4187009192184,0.628047750079412,0.872990221927384,2862,14919,12618,1399,32495,19387
"80",2099,26.4174834114568,0.628017168717162,0.873216683559182,2862,14919,12676,1399,32495,19332
"81",2100,26.4016558105558,0.628036098648756,0.873172641900198,2859,14916,12699,1399,32495,19339
