"","year_id","wood_cover","tES.div","tLU.div","native.wood.ext","consv.ext","int.agri.ext","int.timb.ext","estates.ext","ext.agri.ext"
"31",2050,37.009800937481,0.62219661792932,0.887915082958197,5839,19205,11721,1916,35094,7695
"32",2051,35.8629086260425,0.618483192539037,0.888292706179449,5904,19315,11310,1949,35166,7580
"33",2052,34.0159493516771,0.617122234847993,0.884658824615695,5378,19015,12256,1800,35640,7646
"34",2053,34.0220368904852,0.617097821570674,0.884450098114916,5378,19015,12319,1800,35640,7582
"35",2054,34.0366469836245,0.617054617491536,0.884219063213567,5379,19017,12395,1800,35642,7502
"36",2055,34.041517014671,0.617030989639198,0.88408576156691,5380,19018,12442,1800,35642,7451
"37",2056,34.0439520301942,0.617005286446876,0.883944711213766,5381,19019,12492,1800,35642,7403
"38",2057,34.0585621233335,0.617001992642323,0.883842956410943,5382,19022,12525,1800,35644,7373
"39",2058,34.0683021854264,0.616997558538425,0.883748502652411,5384,19024,12559,1800,35644,7345
"40",2059,34.0841297863274,0.61698421388697,0.883916288814883,5384,19025,12502,1800,35645,7407
"41",2060,34.0926523406587,0.617002782448417,0.883873966949537,5386,19029,12518,1800,35647,7408
"42",2061,34.1023924027516,0.617020456291689,0.883838398854038,5389,19039,12524,1800,35654,7409
"43",2062,34.1170024958909,0.617036135051079,0.883781708218087,5390,19044,12544,1800,35658,7410
"44",2063,34.1340476045535,0.617063481095322,0.883744852574963,5391,19047,12557,1800,35660,7415
"45",2064,34.1608327753089,0.61708921159776,0.883714467577582,5392,19053,12561,1800,35665,7418
"46",2065,34.1705728374018,0.617106590959741,0.883674574353761,5394,19056,12578,1800,35666,7425
"47",2066,34.1864004383028,0.617109381629537,0.883608611477535,5396,19062,12597,1800,35670,7412
"48",2067,34.2156206245815,0.617133847652173,0.883616521164533,5398,19064,12594,1800,35670,7420
"49",2068,34.226578194436,0.617152852798099,0.883615764882242,5399,19073,12582,1800,35678,7429
"50",2069,34.2594509039995,0.617195826761683,0.883627895638336,5400,19076,12574,1800,35680,7426
"51",2070,34.292323613563,0.617232065710512,0.88365280937359,5401,19079,12564,1800,35682,7430
"52",2071,34.3239788153649,0.617300713133487,0.883579932043471,5404,19083,12594,1800,35683,7470
"53",2072,34.3690266025446,0.617360013576185,0.883632111074596,5407,19089,12572,1800,35686,7483
"54",2073,34.4481646070494,0.617456368114719,0.883680392479973,5414,19100,12540,1800,35690,7498
"55",2074,34.4907773787058,0.617528828066628,0.883754887026831,5419,19105,12507,1800,35690,7520
