"Name","Index"
"region",0
"nn.conifer.yc",1
"nn.broad.yc",2
"n.conifer.yc",3
"n.broad.yc",4
"n.broad.consv",5
"agro.yc",6
"mixed.yc",7
"crop.productivity",8
"grassland",9
"water.runoff",10
"human",11
"social",12
"manufactured",13
"financial",14
"moreNW",15
"lessNW",16
"moreF",17
"lessF",18
"moreNAT",19
"lessNAT",20
"deep.peat",21
"deer.density",22
"wild.land",23
